X,Y,fid_1,fid,objet,description,photo,icon_url
-0.365373005374796,49.1901688437684,"45",,Parking vélo ,"2 station, 10 places ",DCIM/JPEG_20240311131029166.JPG,./0.png
-0.365449486194663,49.190216924393,"46",,Jardin partagé et endroit détente ,"4 banc à plantation, 4 assis ",DCIM/JPEG_20240311131200739.JPG,./0.png
-0.365631871636792,49.1903393481742,"47",,Parking vélo couvert ,33 places ,DCIM/JPEG_20240311131316252.JPG,./0.png
-0.366793104567812,49.1910741191198,"48",,Parking vélo couvert ,23 places ,,./0.png
-0.366895607515732,49.1910461090697,"49",,Tables à pique-nique ,1 tables avec place pour fauteuils roulants ,DCIM/JPEG_20240311132022204.JPG,./0.png
-0.366779519653735,49.1911759253719,"50",,Tables à pique-nique ,2 tables à pique-nique ,DCIM/JPEG_20240311131957212.JPG,./0.png
-0.366180651159848,49.190714640013,"51",,Distributeur ,"Bâtiment E , Etage RDC, 3 distributeur Café, Boisson,  Friandises ",,./0.png
-0.366187115645182,49.1914328317362,"52",,Parking vélo couvert ,5 places ,DCIM/JPEG_20240311132807118.JPG,./0.png
-0.365642820942059,49.1914826289564,"53",,Parking vélo ,"6 Arches, 12 Places ",DCIM/JPEG_20240311133019045.JPG,./0.png
-0.365792027943359,49.1915634261214,"54",,Centre de documentation ,"Bâtiment F, Etage RDC ",DCIM/JPEG_20240311133152753.JPG,./0.png
-0.365874183577624,49.1914407586468,"55",,Cafétéria ,"Bâtiment F, Etage 2 ",DCIM/JPEG_20240311133638141.JPG,./0.png
-0.366260214362258,49.1917785500288,"56",,Parking vélo ,"2 Arches,  4 places ",DCIM/JPEG_20240311134243517.JPG,./0.png
-0.363929029767457,49.1907401640411,"57",,Micro-ondes ,"Bâtiment N, Etage RDC ",DCIM/JPEG_20240311134848103.JPG,./0.png
-0.363893400167709,49.1907441657944,"58",,Distributeurs,"Bâtiment M, Etage RDC ",DCIM/JPEG_20240311135006777.JPG,./0.png
-0.363949730025938,49.1907258199501,"59",,Casier ,"Batiment N, Etage RDC, casier 24",DCIM/JPEG_20240311135259994.JPG,./0.png
-0.363951417007747,49.1908257898692,"60",,Prise ,3 bancs avec prise ,,./0.png
-0.363419011689831,49.190918252259,"62",,Distributeurs,"Bâtiment N, Etage RDC, 2 distributeurs , café ",,./0.png
-0.363796665537072,49.1913187188789,"63",,Bibliothèque histoire ,"Bâtiment N, Etage -1-1",DCIM/JPEG_20240311140439880.JPG,./0.png
-0.363207248558572,49.1909485803948,"64",,Prise ,8 bancs,DCIM/JPEG_20240311140807509.JPG,./0.png
-0.363873591306519,49.1907472044693,"65",,Distributeurs ,"Bâtiment N, Etage 1, boisson,  friandises ",DCIM/JPEG_20240311141525504.JPG,./0.png
-0.363849292975889,49.1907433884805,"66",,Distributeurs,"Bâtiment N, Etage 1, café ",,./0.png
-0.363913686259815,49.1907732447887,"67",,Prise ,"Bâtiment,  Etage 1, 2 banc ",,./0.png
-0.363315904881091,49.1909058337177,"68",,Prise ,"Bâtiment N,Etage 1, 10bancs",,./0.png
-0.363733767279095,49.1911163415497,"69",,Espace de travail ,"Bâtiment N, Etage 2",DCIM/JPEG_20240311142245878.JPG,./0.png
-0.363766916655356,49.1913067882808,"70",,Espace de travail ,"Bâtiment N,  Etage 2",DCIM/JPEG_20240311142422901.JPG,./0.png
-0.364032239656967,49.1895284733868,"71",,,,,./0.png
-0.364134997920748,49.1895428845475,"72",,,,,./0.png
-0.364043842416717,49.1894321774823,"73",,,,,./0.png
-0.363991546196936,49.1893543145165,"74",,,,,./0.png
-0.363998835143772,49.1894608125456,"75",,,,,./0.png
